,Unnamed: 0,food,pref
0,0,Bar Taqueria,0
1,1,Buttermilk Pancakes,1
2,2,Cage Free Scrambled Eggs,1
3,3,California Pasta,1
4,4,Chef's Special,0
5,5,Condiments,0
6,6,Corn Tortillas,0
7,7,Creamy Alfredo Sauce,0
8,8,Garlic Mashed Yukon Golds,0
9,9,Hard-boiled Cage Free Eggs,1
10,10,Hash Brown Patty,1
11,11,Meatball Bar,1
12,12,Meatballs,1
13,13,Mexican Rice,0
14,14,Natural BridgesTofu Scramble,0
15,15,Oatmeal Gluten-Free,0
16,16,Oven Roasted Allergen Free Chicken Thigh,1
17,17,Pork Carnitas,1
18,18,Spicy Arrabbiata Sauce,0
19,19,Steamed Rice,1
20,20,Steamed Seasonal Vegetables,0
21,21,Taqueria Chicken,0
22,22,Thai Coconut Curry Chicken Soup,0
23,23,Turkey Sausage Patty,1
0,0,Atomic Cheese Sauce,0
1,1,BAR Boardwalk Burgers,0
2,2,Bacon,1
3,3,Bar Pasta,1
4,4,Bread Bun,0
5,5,Burger Bar #1 Condiments,0
6,6,Burger Beef,1
7,7,Cage Free Scrambled Eggs,1
8,8,Cheese Pizza,1
9,9,Cheese Ravioli,0
10,10,Cheesy Garlic Bread Sticks,1
11,11,Chili con Carne,0
12,12,Cilantro Flatbread with Red Onions and Mushrooms,0
13,13,Condiments,0
14,14,Creamy Alfredo Sauce,0
15,15,Fried Chicken,1
16,16,Ham Steaks,0
17,17,Hard-boiled Cage Free Eggs,0
18,18,Marinara Sauce,1
19,19,Natural BridgesTofu Scramble,1
20,20,Oatmeal Gluten-Free,0
21,21,Onion Rings,1
22,22,Oven Roasted Allergen Free Chicken Thigh,1
23,23,Penne,1
24,24,Pepperoni Pizza,0
25,25,Potatoes O'Brien,0
26,26,Red Skin Mashed Potatoes,1
27,27,Sauteed Mushrooms,0
28,28,Steamed Rice,1
29,29,Steamed Seasonal Vegetables,0
30,30,Teriyaki Chicken Shoyu,1
31,31,Texas French Toast,1
32,32,Tomato Bisque Soup,1
33,33,Vegan Malibu Burger,0
34,34,Veggie Fried Rice,0
